REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10212;1;2;2;2;1;1;1;2;4;TR1;4392.936825
2023;10213;1;2;1;1;1;1;1;3;4;TR1;3148.233642
2023;10214;1;2;1;2;1;2;1;4;4;TR1;3615.76119
2023;10215;1;2;2;1;1;1;1;3;5;TR1;3060.259817
2023;10216;1;2;2;2;1;2;1;2;4;TR1;3478.815587
2023;10217;1;2;2;2;1;2;2;1;1;TR1;4087.74581
2023;10218;1;2;1;2;1;2;1;3;4;TR1;3478.815587
2023;10219;1;2;2;1;1;2;1;2;5;TR1;2530.61573
2023;10221;1;2;2;2;1;2;1;1;1;TR1;4087.74581
2023;10222;1;2;1;2;1;1;1;4;4;TR1;3387.392887
2023;10223;1;2;2;2;1;2;1;2;2;TR1;3112.245152
2023;10224;1;1;1;1;1;2;1;2;1;TR1;4206.874342
2023;10225;1;2;2;2;1;2;1;1;1;TR1;4398.830348
2023;10226;1;2;1;1;1;1;1;1;3;TR1;2905.424971
2023;10227;1;2;2;2;1;1;1;3;2;TR1;4036.747882
2023;10228;1;2;2;2;1;2;1;4;2;TR1;3325.938358
2023;10229;1;2;1;2;1;2;1;4;1;TR1;4850.033545
2023;10231;1;2;2;2;1;1;1;2;4;TR1;4877.347371
2023;10232;1;2;1;2;1;2;1;4;5;TR1;5418.806955
2023;10233;1;2;1;2;1;1;1;3;3;TR1;3404.721349
2023;10234;1;2;1;1;1;1;1;5;3;TR1;5085.725466
2023;10235;1;2;1;2;1;1;1;2;6;TR1;5746.719681
2023;10236;1;2;2;2;1;2;1;5;5;TR1;5249.403557
2023;10237;1;2;2;2;1;2;1;5;4;TR1;3961.161144
2023;10239;1;1;1;2;1;1;1;5;7;TR1;7253.003429
2023;10241;1;2;1;1;1;1;1;5;5;TR1;3818.692505
2023;10242;1;2;1;1;1;1;1;5;4;TR1;4144.316687
2023;10243;1;1;2;2;1;1;1;3;2;TR1;3504.532796
2023;10244;1;2;1;2;1;1;1;5;4;TR1;3478.815587
2023;10245;1;1;1;1;1;1;1;4;4;TR1;4981.2561
2023;10246;1;1;1;1;1;1;1;5;3;TR1;3847.276796
2023;10247;1;1;1;1;1;1;1;5;4;TR1;3064.386649
2023;10248;1;1;1;2;1;2;1;4;5;TR1;4423.130092
2023;10249;1;2;2;2;1;2;1;2;4;TR1;3432.050876
2023;10252;1;2;2;2;1;2;1;3;1;TR1;4190.461548
2023;10253;1;2;1;2;1;1;1;5;3;TR1;3916.946318
2023;10254;1;2;2;2;1;2;1;3;4;TR1;4117.909516
2023;10255;1;2;1;2;1;2;1;2;4;TR1;3711.216719
2023;10256;1;2;2;2;1;1;1;3;1;TR1;4895.80516
2023;10257;1;2;1;1;1;1;1;5;3;TR1;3381.058168
2023;10258;1;1;2;2;1;1;1;2;5;TR1;3448.298568
2023;10259;1;2;2;2;1;1;1;4;2;TR1;4722.575991
2023;10261;1;1;1;1;1;1;1;5;3;TR1;3973.582868
2023;10262;1;2;1;1;1;1;1;5;3;TR1;3446.945254
2023;10263;1;2;1;2;1;1;1;5;3;TR1;3916.946318
2023;10264;1;2;2;1;1;1;1;5;2;TR1;3139.625394
2023;10265;1;2;1;2;1;1;1;5;2;TR1;4722.575991
2023;10266;1;2;1;2;1;2;1;5;3;TR1;3878.143419
2023;10267;1;2;2;2;1;2;1;3;2;TR1;3426.489424
2023;10268;1;2;1;2;1;1;1;5;3;TR1;3643.093632
2023;10269;1;2;1;1;1;1;1;4;5;TR1;3359.22644
2023;10272;1;1;1;1;1;1;1;4;5;TR1;3980.78319
2023;10273;1;2;2;1;1;2;1;2;4;TR1;3573.450455
2023;10274;1;2;2;2;1;2;1;1;5;TR1;4992.51476
2023;10275;1;2;2;1;1;2;1;3;3;TR1;2696.913872
2023;10276;1;2;2;2;1;2;1;2;4;TR1;3965.548127
2023;10277;1;2;2;2;1;1;1;2;6;TR1;5187.789857
2023;10278;1;2;2;2;1;1;1;2;8;TR1;3253.838089
2023;10279;1;1;1;2;1;1;1;2;1;TR1;4107.325497
2023;10281;1;2;1;2;1;1;1;5;4;TR1;4215.246351
2023;10282;1;2;2;1;1;1;1;2;3;TR1;2151.614671
2023;10283;1;2;2;2;1;2;1;2;2;TR1;3353.538769
2023;10284;1;1;2;2;1;1;1;2;4;TR1;2189.969185
2023;10285;1;2;2;2;1;1;1;2;2;TR1;3698.617811
2023;10286;1;2;2;1;1;1;1;2;4;TR1;4261.119679
2023;10287;1;2;2;1;1;1;1;4;4;TR1;4715.048082
2023;10288;1;2;2;1;1;1;1;4;3;TR1;3878.143419
2023;10289;1;1;2;2;1;1;1;2;4;TR1;3171.005288
2023;10291;1;2;2;2;1;2;1;2;2;TR1;3112.245152
2023;10292;1;2;1;2;1;2;1;5;4;TR1;3370.700718
2023;10294;1;2;2;2;1;2;1;5;3;TR1;4958.08398
2023;10295;1;2;1;2;1;1;1;2;5;TR1;2747.131148
2023;10296;1;2;2;2;1;2;1;2;2;TR1;4060.812919
2023;10297;1;1;1;2;1;1;1;2;3;TR1;3338.905816
2023;10298;1;2;1;1;1;1;1;5;5;TR1;4870.317669
2023;10299;1;1;1;1;1;1;1;5;3;TR1;3919.424894
2023;10301;1;2;1;1;1;1;1;2;3;TR1;4006.419563
2023;10302;1;2;1;2;1;2;1;4;4;TR1;3388.806207
2023;10303;1;2;2;2;1;1;1;5;1;TR1;4896.837443
2023;10304;1;2;2;2;1;2;2;1;2;TR1;3112.245152
2023;10305;1;2;2;2;1;2;1;4;2;TR1;4725.305476
2023;10306;1;2;1;1;1;1;1;3;5;TR1;3359.22644
2023;10307;1;2;2;2;1;2;1;1;1;TR1;4087.74581
2023;10308;1;2;2;2;1;2;1;2;2;TR1;3426.489424
2023;10309;1;2;1;2;1;2;1;5;3;TR1;3919.424894
2023;10311;1;2;1;1;1;2;1;2;4;TR1;5420.701271
2023;10312;1;1;1;2;1;1;1;3;5;TR1;2046.381807
2023;10313;1;2;1;1;1;2;1;2;4;TR1;3476.819528
2023;10314;1;2;1;2;1;2;1;5;4;TR1;4230.878689
2023;10315;1;2;2;2;1;2;1;5;4;TR1;4528.922418
2023;10316;1;1;2;2;1;2;1;2;3;TR1;5051.597005
2023;10317;1;2;2;2;1;2;1;3;2;TR1;3958.869685
2023;10318;1;2;2;2;1;2;1;4;4;TR1;978.5882247
2023;10319;1;2;1;1;1;1;1;5;5;TR1;4145.913717
2023;10321;1;2;2;2;1;2;1;3;3;TR1;3355.971855
2023;10322;1;1;2;2;1;1;1;1;3;TR1;3973.582868
2023;10323;1;1;2;2;1;1;1;4;3;TR1;4535.296871
2023;10324;1;2;2;2;1;1;1;3;2;TR1;4722.575991
2023;10325;1;2;2;2;1;2;1;3;3;TR1;4317.921803
2023;10326;1;1;2;2;1;1;1;4;4;TR1;5420.701271
2023;10327;1;2;2;1;1;2;1;3;5;TR1;3753.09725
2023;10328;1;1;2;2;1;2;1;2;3;TR1;3973.582868
2023;10329;1;2;1;2;1;1;1;3;4;TR1;4392.936825
2023;10331;1;2;2;2;1;2;1;2;4;TR1;3446.961354
2023;10332;1;2;2;1;1;2;1;2;4;TR1;4389.612634
2023;10333;1;2;2;2;1;2;2;1;5;TR1;3230.507057
2023;10334;1;2;2;2;1;1;1;2;5;TR1;4445.894811
2023;10335;1;2;2;2;1;2;1;3;5;TR1;4004.641461
2023;10336;1;2;1;2;1;1;1;4;3;TR1;4233.266166
2023;10337;1;2;2;2;1;2;1;2;1;TR1;4190.461548
2023;10338;1;2;2;2;1;2;1;4;2;TR1;1660.292647
2023;10339;1;2;2;2;1;1;1;2;5;TR1;3814.122753
2023;10342;1;2;1;2;1;2;1;3;4;TR1;4981.2561
2023;10343;1;2;2;2;1;2;1;2;4;TR1;3605.40612
2023;10344;1;2;1;2;1;2;1;1;2;TR1;3096.614013
2023;10345;1;2;1;1;1;1;1;4;1;TR1;4895.80516
2023;10346;1;2;1;2;1;2;1;2;1;TR1;4034.256095
2023;10347;1;2;1;2;1;2;1;2;2;TR1;3366.580031
2023;10348;1;2;1;2;1;2;1;3;2;TR1;4085.408449
2023;10349;1;2;1;2;1;2;1;5;5;TR1;5593.699072
2023;10351;1;2;2;2;1;2;1;2;2;TR1;7224.16771
2023;10352;1;2;2;2;1;2;1;1;1;TR1;6723.760158
2023;10353;1;2;1;2;1;2;1;5;3;TR1;6443.642606
2023;10354;1;2;2;1;1;2;1;3;7;TR1;7262.067568
2023;10356;1;2;2;2;1;2;1;1;1;TR1;6812.909684
2023;10358;1;2;1;1;1;2;1;4;3;TR1;6622.638113
2023;10361;1;2;1;2;1;2;1;5;3;TR1;3919.321156
2023;10362;1;2;2;2;1;2;1;2;2;TR1;5247.306657
2023;10363;1;2;2;2;1;2;1;3;2;TR1;3827.717643
2023;10364;1;2;2;2;1;2;1;4;3;TR1;4276.863484
2023;10365;1;2;1;2;1;2;1;3;4;TR1;4877.347371
2023;10367;1;2;2;2;1;2;1;1;2;TR1;3458.050169
2023;10368;1;2;1;1;1;2;1;4;3;TR1;3454.227428
2023;10369;1;2;1;2;1;2;1;3;4;TR1;3916.301165
2023;10371;1;1;1;2;1;1;1;5;5;TR1;7242.018188
2023;10372;1;1;1;2;1;2;1;4;4;TR1;4683.607057
2023;10373;1;2;2;2;1;2;1;2;4;TR1;4895.059733
2023;10374;1;2;2;2;1;2;1;2;3;TR1;5194.249379
2023;10375;1;2;1;1;1;1;1;5;3;TR1;4415.092075
2023;10376;1;2;2;2;1;2;1;2;2;TR1;3695.487064
2023;10378;1;2;2;2;1;2;1;2;6;TR1;7251.996762
2023;10379;1;2;2;2;1;2;1;2;4;TR1;3637.170919
2023;10381;1;2;1;1;1;1;1;4;4;TR1;3975.903523
