BULTEN_NO,BT_BILG_MASAUSTU,BT_BILG_DIZUSTU,BT_TABLET,BT_TEL_CEP,BT_DIGER_CIHAZ,SON_KULLANIM_ETICARET,YAS,hane_aylik_gelir_grp_5,E_TICARET_YAPTI_MI
22546,2,2,2,1,1,1.0,30,4,1
22546,2,2,2,1,1,1.0,21,4,1
22547,2,1,1,1,1,1.0,49,4,1
22547,2,1,1,1,1,90.0,37,4,0
22548,2,1,1,1,1,90.0,53,3,0
22548,2,1,1,1,1,1.0,28,3,1
22548,2,1,1,1,1,1.0,19,3,1
22549,2,2,2,1,2,90.0,38,2,0
225410,1,2,2,1,2,90.0,65,3,0
225410,1,2,2,1,2,90.0,54,3,0
22553,2,2,2,1,2,90.0,68,1,0
22553,2,2,2,1,2,90.0,43,1,0
22554,2,2,2,1,2,90.0,66,4,0
22555,2,2,2,1,2,90.0,68,3,0
22561,2,2,2,1,2,90.0,52,1,0
22563,2,2,2,1,2,90.0,69,2,0
22563,2,2,2,1,2,90.0,30,2,0
22566,2,2,2,1,2,90.0,66,1,0
22569,2,2,2,1,2,90.0,63,3,0
225610,2,2,2,1,2,90.0,44,1,0
22572,2,2,2,1,2,90.0,54,4,0
22572,2,2,2,1,2,90.0,26,4,0
22572,2,2,2,1,2,3.0,28,4,1
22572,2,2,2,1,2,90.0,49,4,0
22575,2,2,2,1,2,90.0,62,1,0
22576,2,2,2,1,2,1.0,20,1,1
22577,2,2,2,1,2,90.0,37,1,0
22577,2,2,2,1,2,90.0,35,1,0
22579,2,2,2,1,2,90.0,71,1,0
22581,2,2,2,1,2,1.0,33,5,1
22581,2,2,2,1,2,1.0,23,5,1
22582,2,1,2,1,1,2.0,49,2,1
22582,2,1,2,1,1,1.0,23,2,1
22584,2,1,1,1,2,1.0,22,1,1
22584,2,1,1,1,2,90.0,46,1,0
22585,2,2,2,1,2,90.0,63,1,0
22588,2,2,2,1,2,90.0,59,1,0
225810,2,2,1,1,2,1.0,37,4,1
22593,2,2,1,1,2,1.0,57,5,1
22595,2,2,2,1,2,1.0,25,3,1
22596,2,2,2,1,2,90.0,48,1,0
22597,2,2,2,1,1,90.0,59,5,0
22597,2,2,2,1,1,90.0,51,5,0
22598,2,2,2,1,2,90.0,41,5,0
22598,2,2,2,1,2,90.0,37,5,0
22599,2,1,2,1,1,90.0,45,5,0
22599,2,1,2,1,1,90.0,40,5,0
225910,2,1,2,1,2,90.0,58,3,0
